DIS_LOSS_BATCH: 0.60349684115, GEN_LOSS_BATCH: 1.497538805
DIS_LOSS_BATCH: 0.555801928, GEN_LOSS_BATCH: 1.363006115
DIS_LOSS_BATCH: 0.62293328345, GEN_LOSS_BATCH: 1.4452761412
DIS_LOSS_BATCH: 0.6525476277, GEN_LOSS_BATCH: 1.5105530024
DIS_LOSS_BATCH: 0.7752646655, GEN_LOSS_BATCH: 2.1121511459
DIS_LOSS_BATCH: 0.65090934935, GEN_LOSS_BATCH: 1.9961762428
DIS_LOSS_BATCH: 0.6058367491, GEN_LOSS_BATCH: 1.5971543789
DIS_LOSS_BATCH: 0.5697321594, GEN_LOSS_BATCH: 1.4879266024
DIS_LOSS_BATCH: 0.6416185349, GEN_LOSS_BATCH: 1.5085420609
DIS_LOSS_BATCH: 0.7400641292500001, GEN_LOSS_BATCH: 1.7761803865
DIS_LOSS_BATCH: 0.6267097294, GEN_LOSS_BATCH: 1.5720236301
DIS_LOSS_BATCH: 1.0716160834, GEN_LOSS_BATCH: 1.9985898733
DIS_LOSS_BATCH: 0.5773988514999999, GEN_LOSS_BATCH: 1.1089937687
DIS_LOSS_BATCH: 0.67337216435, GEN_LOSS_BATCH: 1.5936505795
DIS_LOSS_BATCH: 0.7086826414, GEN_LOSS_BATCH: 1.808802247
DIS_LOSS_BATCH: 0.73746113475, GEN_LOSS_BATCH: 1.8045277596
DIS_LOSS_BATCH: 0.5694564283, GEN_LOSS_BATCH: 1.6196610928
DIS_LOSS_BATCH: 0.7015931904, GEN_LOSS_BATCH: 1.8797687292
DIS_LOSS_BATCH: 0.7311632931000001, GEN_LOSS_BATCH: 2.0626525879
DIS_LOSS_BATCH: 0.554370448, GEN_LOSS_BATCH: 1.2854390144
DIS_LOSS_BATCH: 0.6519778669, GEN_LOSS_BATCH: 1.7684534788
DIS_LOSS_BATCH: 0.7106696665000001, GEN_LOSS_BATCH: 1.1969928741
DIS_LOSS_BATCH: 0.61503058675, GEN_LOSS_BATCH: 1.8849428892
DIS_LOSS_BATCH: 0.6154166162000001, GEN_LOSS_BATCH: 0.9105712175
DIS_LOSS_BATCH: 0.7830589488, GEN_LOSS_BATCH: 2.0354018211
DIS_LOSS_BATCH: 0.9935066401999999, GEN_LOSS_BATCH: 2.5691099167
DIS_LOSS_BATCH: 0.72258120775, GEN_LOSS_BATCH: 1.5269610882
DIS_LOSS_BATCH: 0.6938657463, GEN_LOSS_BATCH: 1.8283880949
DIS_LOSS_BATCH: 0.5732060373, GEN_LOSS_BATCH: 1.3511506319
DIS_LOSS_BATCH: 0.65681843455, GEN_LOSS_BATCH: 2.1055562496
DIS_LOSS_BATCH: 0.8169066012, GEN_LOSS_BATCH: 2.4434857368
DIS_LOSS_BATCH: 0.7745116651, GEN_LOSS_BATCH: 1.7129127979
DIS_LOSS_BATCH: 0.7514526695, GEN_LOSS_BATCH: 1.3567723036
DIS_LOSS_BATCH: 0.7918045967999999, GEN_LOSS_BATCH: 2.1471819878
DIS_LOSS_BATCH: 0.7150894925, GEN_LOSS_BATCH: 1.8900978565
DIS_LOSS_BATCH: 0.71740937235, GEN_LOSS_BATCH: 1.732935667
DIS_LOSS_BATCH: 0.69393345715, GEN_LOSS_BATCH: 1.0657094717
DIS_LOSS_BATCH: 0.6228200793, GEN_LOSS_BATCH: 1.798527956
DIS_LOSS_BATCH: 0.75538139045, GEN_LOSS_BATCH: 1.4479672909
DIS_LOSS_BATCH: 0.6902128607000001, GEN_LOSS_BATCH: 1.7603415251
DIS_LOSS_BATCH: 0.6688042879, GEN_LOSS_BATCH: 1.31221807
DIS_LOSS_BATCH: 0.58618310095, GEN_LOSS_BATCH: 1.3553944826
DIS_LOSS_BATCH: 0.64174768325, GEN_LOSS_BATCH: 1.7312951088
DIS_LOSS_BATCH: 0.7486610859999999, GEN_LOSS_BATCH: 2.1533892155
DIS_LOSS_BATCH: 0.7198381424, GEN_LOSS_BATCH: 2.3990054131
DIS_LOSS_BATCH: 0.57834907625, GEN_LOSS_BATCH: 3.2051928043
DIS_LOSS_BATCH: 0.72461131215, GEN_LOSS_BATCH: 1.9025110006
DIS_LOSS_BATCH: 0.6377493142999999, GEN_LOSS_BATCH: 1.1064789295
DIS_LOSS_BATCH: 0.69010461865, GEN_LOSS_BATCH: 1.2712175846
DIS_LOSS_BATCH: 0.69606835395, GEN_LOSS_BATCH: 1.6918861866
DIS_LOSS_BATCH: 0.8953736201, GEN_LOSS_BATCH: 2.3253171444
DIS_LOSS_BATCH: 0.59359651805, GEN_LOSS_BATCH: 1.3135088682
DIS_LOSS_BATCH: 0.866917789, GEN_LOSS_BATCH: 1.2400670052
DIS_LOSS_BATCH: 0.6848415881, GEN_LOSS_BATCH: 1.4032603502
DIS_LOSS_BATCH: 0.677899614, GEN_LOSS_BATCH: 1.7837598324
DIS_LOSS_BATCH: 0.61355227235, GEN_LOSS_BATCH: 1.4282006025
DIS_LOSS_BATCH: 0.7891043574000001, GEN_LOSS_BATCH: 1.9181970358
DIS_LOSS_BATCH: 0.7423951924000001, GEN_LOSS_BATCH: 1.0720351934
DIS_LOSS_BATCH: 0.6714537739499999, GEN_LOSS_BATCH: 1.7055921555
DIS_LOSS_BATCH: 0.71118167045, GEN_LOSS_BATCH: 1.3231678009
DIS_LOSS_BATCH: 0.6510490775, GEN_LOSS_BATCH: 1.563188076
DIS_LOSS_BATCH: 0.7508476674500001, GEN_LOSS_BATCH: 1.9011502266
DIS_LOSS_BATCH: 0.6476209015, GEN_LOSS_BATCH: 1.6150443554
DIS_LOSS_BATCH: 0.66069738565, GEN_LOSS_BATCH: 1.6179527044
DIS_LOSS_BATCH: 0.7028495073000001, GEN_LOSS_BATCH: 1.7685332298
DIS_LOSS_BATCH: 0.6829013526500001, GEN_LOSS_BATCH: 1.8489718437
DIS_LOSS_BATCH: 0.8454247862, GEN_LOSS_BATCH: 1.874892354
DIS_LOSS_BATCH: 0.74056199195, GEN_LOSS_BATCH: 1.6965301037
DIS_LOSS_BATCH: 1.1298132166000001, GEN_LOSS_BATCH: 2.5872750282
DIS_LOSS_BATCH: 0.6287372112, GEN_LOSS_BATCH: 1.8028988838
DIS_LOSS_BATCH: 0.830323115, GEN_LOSS_BATCH: 2.1824553013
DIS_LOSS_BATCH: 0.7245145738, GEN_LOSS_BATCH: 1.9142215252
DIS_LOSS_BATCH: 0.74649296705, GEN_LOSS_BATCH: 1.5270969868
DIS_LOSS_BATCH: 0.8473785669, GEN_LOSS_BATCH: 1.9285985231
DIS_LOSS_BATCH: 0.671734795, GEN_LOSS_BATCH: 1.5792069435
DIS_LOSS_BATCH: 0.8142960891, GEN_LOSS_BATCH: 1.9976584911
DIS_LOSS_BATCH: 0.85919339205, GEN_LOSS_BATCH: 2.2480993271
DIS_LOSS_BATCH: 0.81309048835, GEN_LOSS_BATCH: 2.1216375828
DIS_LOSS_BATCH: 0.5421594977499999, GEN_LOSS_BATCH: 1.4870898724
DIS_LOSS_BATCH: 0.6989953667000001, GEN_LOSS_BATCH: 1.6526697874
DIS_LOSS_BATCH: 0.9339080453, GEN_LOSS_BATCH: 2.131585598
DIS_LOSS_BATCH: 0.6950581968, GEN_LOSS_BATCH: 1.3335295916
DIS_LOSS_BATCH: 0.851696074, GEN_LOSS_BATCH: 1.9719424248
DIS_LOSS_BATCH: 0.6998220235, GEN_LOSS_BATCH: 1.5834300518
DIS_LOSS_BATCH: 0.8886982798499999, GEN_LOSS_BATCH: 2.0500273705
DIS_LOSS_BATCH: 0.9745600744999999, GEN_LOSS_BATCH: 2.4794960022
DIS_LOSS_BATCH: 0.7657648474000001, GEN_LOSS_BATCH: 1.6083388329
DIS_LOSS_BATCH: 0.75974462925, GEN_LOSS_BATCH: 1.6570703983
DIS_LOSS_BATCH: 0.922086671, GEN_LOSS_BATCH: 2.0862584114
DIS_LOSS_BATCH: 0.6747914105499999, GEN_LOSS_BATCH: 1.4979512691
DIS_LOSS_BATCH: 0.8212543428, GEN_LOSS_BATCH: 1.7616032362
DIS_LOSS_BATCH: 1.0582997501, GEN_LOSS_BATCH: 2.5204110146
DIS_LOSS_BATCH: 0.7825089693, GEN_LOSS_BATCH: 1.6689500809
DIS_LOSS_BATCH: 0.7033081054500001, GEN_LOSS_BATCH: 1.7343335152
DIS_LOSS_BATCH: 0.6948959827500001, GEN_LOSS_BATCH: 1.561419487
DIS_LOSS_BATCH: 0.78644788265, GEN_LOSS_BATCH: 1.7214741707
DIS_LOSS_BATCH: 1.134406507, GEN_LOSS_BATCH: 2.8759880066
DIS_LOSS_BATCH: 0.7822873294, GEN_LOSS_BATCH: 1.5214918852
DIS_LOSS_BATCH: 0.6999826729499999, GEN_LOSS_BATCH: 1.992474556
DIS_LOSS_BATCH: 0.76172681155, GEN_LOSS_BATCH: 2.2155642509
DIS_LOSS_BATCH: 0.7000308335000001, GEN_LOSS_BATCH: 1.7127451897
DIS_LOSS_BATCH: 0.6909732521, GEN_LOSS_BATCH: 1.657910943
DIS_LOSS_BATCH: 1.06970290095, GEN_LOSS_BATCH: 2.5502443314
DIS_LOSS_BATCH: 0.8691927046000001, GEN_LOSS_BATCH: 2.3584065437
DIS_LOSS_BATCH: 0.64856889845, GEN_LOSS_BATCH: 1.601805687
DIS_LOSS_BATCH: 1.0062466301000002, GEN_LOSS_BATCH: 2.8022389412
DIS_LOSS_BATCH: 0.77871898565, GEN_LOSS_BATCH: 1.9506635666
DIS_LOSS_BATCH: 0.9608865826999999, GEN_LOSS_BATCH: 1.9003375769
DIS_LOSS_BATCH: 1.0207209885000001, GEN_LOSS_BATCH: 2.2707071304
DIS_LOSS_BATCH: 1.2637431547, GEN_LOSS_BATCH: 3.4507489204
DIS_LOSS_BATCH: 0.7194530666000001, GEN_LOSS_BATCH: 1.458988905
DIS_LOSS_BATCH: 0.7821831107, GEN_LOSS_BATCH: 1.7420101166
DIS_LOSS_BATCH: 0.9951332658500001, GEN_LOSS_BATCH: 2.6733136177
DIS_LOSS_BATCH: 0.92541353405, GEN_LOSS_BATCH: 2.4900135994
DIS_LOSS_BATCH: 0.7627638802000001, GEN_LOSS_BATCH: 1.8703329563
DIS_LOSS_BATCH: 0.69966752825, GEN_LOSS_BATCH: 1.5700868368
DIS_LOSS_BATCH: 0.7434103489, GEN_LOSS_BATCH: 1.8192670345
DIS_LOSS_BATCH: 0.72596755625, GEN_LOSS_BATCH: 1.6638592482
DIS_LOSS_BATCH: 0.7411197498, GEN_LOSS_BATCH: 2.1498193741
DIS_LOSS_BATCH: 0.80781736225, GEN_LOSS_BATCH: 2.1011271477
DIS_LOSS_BATCH: 0.9682944119, GEN_LOSS_BATCH: 2.3357384205
DIS_LOSS_BATCH: 0.739938885, GEN_LOSS_BATCH: 2.0249676704
DIS_LOSS_BATCH: 1.30128344895, GEN_LOSS_BATCH: 2.5799939632
DIS_LOSS_BATCH: 0.79082772135, GEN_LOSS_BATCH: 2.1396391392
DIS_LOSS_BATCH: 1.1334379464000002, GEN_LOSS_BATCH: 2.6293735504
DIS_LOSS_BATCH: 0.73438963295, GEN_LOSS_BATCH: 1.2844212055
DIS_LOSS_BATCH: 0.97536483405, GEN_LOSS_BATCH: 1.8052375317
DIS_LOSS_BATCH: 0.74757397175, GEN_LOSS_BATCH: 1.5060474873
DIS_LOSS_BATCH: 0.71755075455, GEN_LOSS_BATCH: 1.6437785625
DIS_LOSS_BATCH: 0.7688455209, GEN_LOSS_BATCH: 1.8682326078
DIS_LOSS_BATCH: 0.8634456396000001, GEN_LOSS_BATCH: 1.9055228233
DIS_LOSS_BATCH: 0.7354800254, GEN_LOSS_BATCH: 1.650593996
DIS_LOSS_BATCH: 0.64409071205, GEN_LOSS_BATCH: 1.3484258652
DIS_LOSS_BATCH: 1.0770181640999998, GEN_LOSS_BATCH: 2.8164577484
DIS_LOSS_BATCH: 0.9513681531, GEN_LOSS_BATCH: 1.6995925903
DIS_LOSS_BATCH: 0.8161663711, GEN_LOSS_BATCH: 1.8647825718
DIS_LOSS_BATCH: 0.9778698608499999, GEN_LOSS_BATCH: 2.1508846283
DIS_LOSS_BATCH: 0.98638441415, GEN_LOSS_BATCH: 2.2202920914
DIS_LOSS_BATCH: 0.9698890597000001, GEN_LOSS_BATCH: 2.5906920433
DIS_LOSS_BATCH: 0.75094269215, GEN_LOSS_BATCH: 1.7513883114
DIS_LOSS_BATCH: 0.7637144327500001, GEN_LOSS_BATCH: 1.2946960926
DIS_LOSS_BATCH: 0.6731024384500001, GEN_LOSS_BATCH: 1.7298803329
DIS_LOSS_BATCH: 0.8584669307, GEN_LOSS_BATCH: 1.9874324799
DIS_LOSS_BATCH: 0.8147561401, GEN_LOSS_BATCH: 1.9867348671
DIS_LOSS_BATCH: 0.9413191974, GEN_LOSS_BATCH: 2.1000766754
DIS_LOSS_BATCH: 0.6997179984999999, GEN_LOSS_BATCH: 1.7637720108
DIS_LOSS_BATCH: 0.21584293245, GEN_LOSS_BATCH: 1.33531e-05
DIS_LOSS_BATCH: 0.20091962815, GEN_LOSS_BATCH: 2.171e-06
DIS_LOSS_BATCH: 0.23151272535, GEN_LOSS_BATCH: 5.255e-07
DIS_LOSS_BATCH: 0.17494119705, GEN_LOSS_BATCH: 1.69e-07
DIS_LOSS_BATCH: 0.2037125379, GEN_LOSS_BATCH: 5.78e-08
DIS_LOSS_BATCH: 0.2185459435, GEN_LOSS_BATCH: 2.64e-08
DIS_LOSS_BATCH: 0.2136810869, GEN_LOSS_BATCH: 1.09e-08
DIS_LOSS_BATCH: 0.21028999985, GEN_LOSS_BATCH: 5.9e-09
DIS_LOSS_BATCH: 0.20382529495, GEN_LOSS_BATCH: 2.1e-09
DIS_LOSS_BATCH: 0.19490012525, GEN_LOSS_BATCH: 2.1e-09
DIS_LOSS_BATCH: 0.22553798555, GEN_LOSS_BATCH: 1.1e-09
DIS_LOSS_BATCH: 0.21129120885, GEN_LOSS_BATCH: 8e-10
DIS_LOSS_BATCH: 0.2069199234, GEN_LOSS_BATCH: 5e-10
DIS_LOSS_BATCH: 0.20344281195, GEN_LOSS_BATCH: 3e-10
DIS_LOSS_BATCH: 0.2068282366, GEN_LOSS_BATCH: 4e-10
DIS_LOSS_BATCH: 0.20682904125, GEN_LOSS_BATCH: 3e-10
DIS_LOSS_BATCH: 0.22549313305, GEN_LOSS_BATCH: 3e-10
DIS_LOSS_BATCH: 0.22565460205, GEN_LOSS_BATCH: 3e-10
DIS_LOSS_BATCH: 0.20965516565, GEN_LOSS_BATCH: 2e-10
DIS_LOSS_BATCH: 0.21424797175, GEN_LOSS_BATCH: 2e-10
DIS_LOSS_BATCH: 0.2317109406, GEN_LOSS_BATCH: 2e-10
DIS_LOSS_BATCH: 0.20491808655, GEN_LOSS_BATCH: 2e-10
DIS_LOSS_BATCH: 0.1945332587, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.1972761005, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.22145186365, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.19536453485, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2027721405, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.21540534495, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2055860758, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.20533002915, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.22400717435, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2266278565, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2163654268, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.1950466037, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.19241666795, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.21409124135, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2114058137, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2131077349, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2197716236, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.21375645695, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2214588821, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2094542682, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.20724646745, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2069463879, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2028429955, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.1962785423, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.1899665445, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20762874185, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.22923623025, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21538875995, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.20632363855, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2097876966, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21798975765, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1918208599, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19830331205, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.2065190375, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.1945000887, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.18533585965, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.23031517865, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2180235386, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2150916606, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2267757654, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20025743545, GEN_LOSS_BATCH: 1e-10
DIS_LOSS_BATCH: 0.19769725205, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20884400605, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2062099725, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20741575955, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19459819795, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20499941705, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21852977575, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2067697644, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21489828825, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2247737795, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2243179977, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2238421887, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.23430608215, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21424007415, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2084400356, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2321716696, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19333167375, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20869621635, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22252462805, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1982329786, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2195736468, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21785107255, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.206546247, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2239229083, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20418664815, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20371356605, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.220654428, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2050459534, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20636262, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2044838965, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21534354985, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.18452882765, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21588516235, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21475102005, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2127007246, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21683585645, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20014999805, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.23430019615, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2102586478, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2154761851, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21566596625, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2113377154, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19665794075, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2134798467, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.208348006, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21377275885, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19423900545, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2146743238, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19694447515, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2235482335, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20242011545, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21412813665, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21502412855, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2024770826, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2163756788, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20484752955, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2239715755, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21670247615, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19625478985, GEN_LOSS_BATCH: 0.0
